DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
200;2005-01-26;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.09015241093738, 49.24364626336771], [-123.09015256508023, 49.24364037136746]], ""type"": ""LineString""}";49.243643317367585, -123.09015248800883
200;1969-01-01;Cast Iron;"{""coordinates"": [[-123.04148027827456, 49.21375004046124], [-123.04142597210411, 49.21374897152097]], ""type"": ""LineString""}";49.2137495059911, -123.04145312518934
300;1946-01-01;Cast Iron;"{""coordinates"": [[-123.13511276956386, 49.27729040865713], [-123.13532034460901, 49.27749692909258]], ""type"": ""LineString""}";49.27739366887485, -123.13521655708644
450;1928-01-01;Steel;"{""coordinates"": [[-123.1150008638436, 49.28463077915581], [-123.11508337729609, 49.28457627620781], [-123.11531357625032, 49.284424109237484]], ""type"": ""LineString""}";49.28452745454714, -123.11515722688635
150;;Cast Iron;"{""coordinates"": [[-123.0430413425498, 49.231994472133124], [-123.04304133505802, 49.23200165934352]], ""type"": ""LineString""}";49.231998065738324, -123.0430413388039
200;1949-01-01;Cast Iron;"{""coordinates"": [[-123.1438363778887, 49.26795157494537], [-123.14380858247998, 49.26795111480765]], ""type"": ""LineString""}";49.26795134487651, -123.14382248018434
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04157896240523, 49.21813849559829], [-123.04155482115323, 49.21813803653111]], ""type"": ""LineString""}";49.2181382660647, -123.04156689177923
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.1982223981593, 49.23516757078298], [-123.196623012567, 49.23473755126646]], ""type"": ""LineString""}";49.23495256102472, -123.19742270536315
200;1968-01-01;Cast Iron;"{""coordinates"": [[-123.18767157404073, 49.22558177835371], [-123.18652881900624, 49.22557520967386]], ""type"": ""LineString""}";49.22557849401379, -123.18710019652349
150;1948-01-01;Cast Iron;"{""coordinates"": [[-123.08019078185946, 49.22051349555757], [-123.08013364712407, 49.22186823207184]], ""type"": ""LineString""}";49.22119086381471, -123.08016221449175
300;1957-01-01;Cast Iron;"{""coordinates"": [[-123.05672976887713, 49.250557361607], [-123.05657655839704, 49.25055878601972]], ""type"": ""LineString""}";49.25055807381336, -123.0566531636371
300;1951-01-01;Cast Iron;"{""coordinates"": [[-123.11266994673456, 49.26751622447696], [-123.1126674485273, 49.26756606032162], [-123.11268296382721, 49.26758861414837]], ""type"": ""LineString""}";49.26755396488671, -123.11267100336742
200;1965-01-01;Steel;"{""coordinates"": [[-123.02613177068766, 49.20440453202909], [-123.02613186536306, 49.20440183341869]], ""type"": ""LineString""}";49.2044031827239, -123.02613181802536
150;2010-03-31;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.09898735374354, 49.269148692944654], [-123.09952454366318, 49.268747342522026]], ""type"": ""LineString""}";49.26894801773334, -123.09925594870334
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.09025262898584, 49.25557426123775], [-123.09010375339676, 49.25557191274867]], ""type"": ""LineString""}";49.25557308699321, -123.09017819119131
200;1964-01-01;Cast Iron;"{""coordinates"": [[-123.14839881459093, 49.2583042186074], [-123.14839936144948, 49.25828951072612]], ""type"": ""LineString""}";49.25829686466676, -123.1483990880202
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.19387499899774, 49.26268351722016], [-123.19387693128213, 49.26262593562085]], ""type"": ""LineString""}";49.26265472642051, -123.19387596513994
300;1927-01-01;Cast Iron;"{""coordinates"": [[-123.14160200550344, 49.28299769133992], [-123.14119923349139, 49.28273531813305]], ""type"": ""LineString""}";49.28286650473649, -123.14140061949742
300;1927-01-01;Cast Iron;"{""coordinates"": [[-123.13983538009967, 49.28185141032353], [-123.13968666575849, 49.28175488302344]], ""type"": ""LineString""}";49.28180314667348, -123.13976102292906
