SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;5.2;W;90.5;N;"{""coordinates"": [-123.08912868918273, 49.239175263005734], ""type"": ""Point""}";Kensington-Cedar Cottage;49.239175263005734, -123.08912868918273
Distribution;SMALL;OPEN;3.0;E;0.0;S;"{""coordinates"": [-123.09843817938639, 49.259191110622396], ""type"": ""Point""}";Mount Pleasant;49.259191110622396, -123.09843817938639
Distribution;SMALL;OPEN;3.0;E;0.0;N;"{""coordinates"": [-123.09849329749913, 49.257564764966695], ""type"": ""Point""}";Mount Pleasant;49.257564764966695, -123.09849329749913
Distribution;SMALL;OPEN;5.5;E;0.0;S;"{""coordinates"": [-123.1221295396689, 49.25605524334747], ""type"": ""Point""}";South Cambie;49.25605524334747, -123.1221295396689
Distribution;SMALL;OPEN;5.2;E;0.0;S;"{""coordinates"": [-123.09994918328586, 49.245605515051196], ""type"": ""Point""}";Riley Park;49.245605515051196, -123.09994918328586
Distribution;SMALL;OPEN;0.0;W;3.0;S;"{""coordinates"": [-123.10006815996995, 49.244520271915675], ""type"": ""Point""}";Riley Park;49.244520271915675, -123.10006815996995
Distribution;SMALL;OPEN;6.7;W;0.0;S;"{""coordinates"": [-123.09721769150636, 49.24746028804456], ""type"": ""Point""}";Riley Park;49.24746028804456, -123.09721769150636
Distribution;SMALL;OPEN;5.5;W;4.0;S;"{""coordinates"": [-123.09713000883947, 49.2485915209613], ""type"": ""Point""}";Riley Park;49.2485915209613, -123.09713000883947
Distribution;SMALL;OPEN;0.0;E;7.3;S;"{""coordinates"": [-123.09984471983333, 49.24328127245527], ""type"": ""Point""}";Riley Park;49.24328127245527, -123.09984471983333
Distribution;SMALL;OPEN;0.0;W;10.1;N;"{""coordinates"": [-123.18376846329883, 49.26857316667235], ""type"": ""Point""}";Kitsilano;49.26857316667235, -123.18376846329883
Distribution;SMALL;OPEN;0.0;W;10.1;N;"{""coordinates"": [-123.18183443668603, 49.268542017740714], ""type"": ""Point""}";Kitsilano;49.268542017740714, -123.18183443668603
Distribution;SMALL;OPEN;0.0;E;3.0;N;"{""coordinates"": [-123.16444415827907, 49.266537310641205], ""type"": ""Point""}";Kitsilano;49.266537310641205, -123.16444415827907
Distribution;SMALL;OPEN;3.4;E;7.9;N;"{""coordinates"": [-123.12723666701902, 49.25170015515887], ""type"": ""Point""}";South Cambie;49.25170015515887, -123.12723666701902
Distribution;SMALL;OPEN;0.0;E;2.1;N;"{""coordinates"": [-123.12778272254539, 49.2375808089283], ""type"": ""Point""}";South Cambie;49.2375808089283, -123.12778272254539
Distribution;SMALL;OPEN;0.0;E;7.0;N;"{""coordinates"": [-123.09480103870746, 49.261541335475734], ""type"": ""Point""}";Mount Pleasant;49.261541335475734, -123.09480103870746
Distribution;SMALL;OPEN;7.0;E;0.9;S;"{""coordinates"": [-123.09304821389215, 49.261465455562345], ""type"": ""Point""}";Mount Pleasant;49.261465455562345, -123.09304821389215
Distribution;SMALL;OPEN;0.3;W;5.5;N;"{""coordinates"": [-123.09595988539954, 49.26153609710201], ""type"": ""Point""}";Mount Pleasant;49.26153609710201, -123.09595988539954
Distribution;SMALL;OPEN;7.6;W;0.0;N;"{""coordinates"": [-123.08383544986722, 49.22550094324356], ""type"": ""Point""}";Sunset;49.22550094324356, -123.08383544986722
Distribution;SMALL;OPEN;7.9;W;13.1;N;"{""coordinates"": [-123.13377604892189, 49.29254814783264], ""type"": ""Point""}";West End;49.29254814783264, -123.13377604892189
Distribution;SMALL;OPEN;5.6;E;25.8;N;"{""coordinates"": [-123.12110282489508, 49.27221520391336], ""type"": ""Point""}";Downtown;49.27221520391336, -123.12110282489508
Distribution;SMALL;OPEN;4.6;E;0.0;S;"{""coordinates"": [-123.10175508526102, 49.22557364052561], ""type"": ""Point""}";Sunset;49.22557364052561, -123.10175508526102
Distribution;SMALL;OPEN;4.6;E;0.0;N;"{""coordinates"": [-123.10163505021147, 49.227669885502834], ""type"": ""Point""}";Sunset;49.227669885502834, -123.10163505021147
Distribution;SMALL;OPEN;4.6;E;0.0;S;"{""coordinates"": [-123.1016960151851, 49.22657085359665], ""type"": ""Point""}";Sunset;49.22657085359665, -123.1016960151851
Distribution;SMALL;OPEN;4.6;E;0.0;N;"{""coordinates"": [-123.10163756407779, 49.22856063904362], ""type"": ""Point""}";Sunset;49.22856063904362, -123.10163756407779
Distribution;SMALL;OPEN;0.0;W;7.6;S;"{""coordinates"": [-123.10162902712713, 49.23165728218142], ""type"": ""Point""}";Sunset;49.23165728218142, -123.10162902712713
Distribution;SMALL;OPEN;2.1;W;3.4;N;"{""coordinates"": [-123.09622773920141, 49.26190165548839], ""type"": ""Point""}";Mount Pleasant;49.26190165548839, -123.09622773920141
Distribution;SMALL;OPEN;0.0;W;7.6;S;"{""coordinates"": [-123.10380323738447, 49.231698984957404], ""type"": ""Point""}";Sunset;49.231698984957404, -123.10380323738447
Distribution;SMALL;OPEN;0.0;W;3.4;N;"{""coordinates"": [-123.09882898940369, 49.26191120748561], ""type"": ""Point""}";Mount Pleasant;49.26191120748561, -123.09882898940369
Distribution;SMALL;OPEN;7.9;W;0.0;S;"{""coordinates"": [-123.11112620073438, 49.257658575996025], ""type"": ""Point""}";Mount Pleasant;49.257658575996025, -123.11112620073438
Distribution;SMALL;OPEN;7.3;E;0.0;N;"{""coordinates"": [-123.08930709759782, 49.23300845069521], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23300845069521, -123.08930709759782
Distribution;SMALL;OPEN;5.5;E;6.4;S;"{""coordinates"": [-123.04760605934895, 49.228456115194845], ""type"": ""Point""}";Killarney;49.228456115194845, -123.04760605934895
Distribution;SMALL;OPEN;7.0;W;0.0;S;"{""coordinates"": [-123.05157636321812, 49.2292813269176], ""type"": ""Point""}";Victoria-Fraserview;49.2292813269176, -123.05157636321812
Distribution;SMALL;OPEN;4.3;E;0.0;N;"{""coordinates"": [-123.04775397830396, 49.22598487600821], ""type"": ""Point""}";Killarney;49.22598487600821, -123.04775397830396
Distribution;SMALL;OPEN;4.3;E;0.0;N;"{""coordinates"": [-123.04766769660526, 49.22760876328591], ""type"": ""Point""}";Killarney;49.22760876328591, -123.04766769660526
Distribution;SMALL;OPEN;4.3;E;0.0;S;"{""coordinates"": [-123.04766752267066, 49.22742795861867], ""type"": ""Point""}";Killarney;49.22742795861867, -123.04766752267066
Distribution;SMALL;OPEN;0.0;E;7.0;S;"{""coordinates"": [-123.04293789393094, 49.23114991922586], ""type"": ""Point""}";Killarney;49.23114991922586, -123.04293789393094
Distribution;SMALL;OPEN;5.2;W;0.0;S;"{""coordinates"": [-123.0430386584767, 49.23100772071891], ""type"": ""Point""}";Killarney;49.23100772071891, -123.0430386584767
Distribution;SMALL;OPEN;0.0;W;5.5;S;"{""coordinates"": [-123.11096288092982, 49.28351209354886], ""type"": ""Point""}";Downtown;49.28351209354886, -123.11096288092982
Distribution;SMALL;OPEN;6.4;E;10.4;S;"{""coordinates"": [-123.11289306358566, 49.284700762210726], ""type"": ""Point""}";Downtown;49.284700762210726, -123.11289306358566
Distribution;SMALL;OPEN;0.0;W;6.5;S;"{""coordinates"": [-123.0328820727518, 49.2400587213654], ""type"": ""Point""}";Renfrew-Collingwood;49.2400587213654, -123.0328820727518
Distribution;SMALL;OPEN;1.5;E;0.0;N;"{""coordinates"": [-123.03195753865829, 49.23728712368905], ""type"": ""Point""}";Renfrew-Collingwood;49.23728712368905, -123.03195753865829
Distribution;SMALL;OPEN;38.1;E;5.5;N;"{""coordinates"": [-123.03207806021531, 49.23718739598395], ""type"": ""Point""}";Renfrew-Collingwood;49.23718739598395, -123.03207806021531
Distribution;SMALL;OPEN;47.2;E;5.5;N;"{""coordinates"": [-123.03197226826072, 49.2371431057375], ""type"": ""Point""}";Renfrew-Collingwood;49.2371431057375, -123.03197226826072
