Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.0658456330677, 49.261305317799376], [-123.06584587769962, 49.26129291326786]], ""type"": ""LineString""}";400;1993-01-01;Cement Lined;Ductile Iron;49.26129911553361, -123.06584575538366
"{""coordinates"": [[-123.16485583585747, 49.22730695577138], [-123.1648283656814, 49.22730663516013]], ""type"": ""LineString""}";450;1960-01-01;Coal Tar;Steel;49.22730679546576, -123.16484210076943
"{""coordinates"": [[-123.11642950251853, 49.27706433962113], [-123.11609215756933, 49.27684700454931]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.27695567208522, -123.11626083004391
"{""coordinates"": [[-123.18508478209948, 49.25180739226003], [-123.18508510656693, 49.25178391419232]], ""type"": ""LineString""}";500;1930-01-01;blank;Steel;49.25179565322618, -123.1850849443332
"{""coordinates"": [[-123.06986224802357, 49.26280850472836], [-123.06985450076017, 49.26277279844485], [-123.06985450063321, 49.262772708492854]], ""type"": ""LineString""}";400;1993-01-01;Cement Lined;Ductile Iron;49.26279060763075, -123.06985836487847
"{""coordinates"": [[-123.20925806367084, 49.262219531056886], [-123.2092309995158, 49.262960326958016]], ""type"": ""LineString""}";450;1966-01-01;Cement Lined;Cast Iron;49.26258992900745, -123.20924453159333
"{""coordinates"": [[-123.1159774793521, 49.23731299870217], [-123.11595343698437, 49.23731212331157]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.237312561006874, -123.11596545816823
"{""coordinates"": [[-123.11385187801778, 49.23882014371867], [-123.11424851101667, 49.23837806760783]], ""type"": ""LineString""}";900;;blank;<blank>;49.238599105663255, -123.11405019451723
"{""coordinates"": [[-123.10760345757542, 49.27708527321115], [-123.10753478170851, 49.27708399686163]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.27708463503639, -123.10756911964198
"{""coordinates"": [[-123.12876997758657, 49.20511293834037], [-123.12868668706784, 49.20501760004322]], ""type"": ""LineString""}";1050;1967-01-01;blank;<blank>;49.20506526919179, -123.1287283323272
"{""coordinates"": [[-123.12876997758657, 49.20511293834037], [-123.12871388951672, 49.205136478585494]], ""type"": ""LineString""}";1050;1967-01-01;blank;<blank>;49.20512470846293, -123.12874193355165
"{""coordinates"": [[-123.13106757644599, 49.285412182906356], [-123.13062078973695, 49.285709088750544]], ""type"": ""LineString""}";450;1969-01-01;Cement Lined;Ductile Iron;49.285560635828446, -123.13084418309145
"{""coordinates"": [[-123.12423245991992, 49.20839303206666], [-123.12424654561015, 49.20792707869978]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.20816005538322, -123.12423950276504
"{""coordinates"": [[-123.10639358826572, 49.27706003765925], [-123.10624248775409, 49.277057226267935]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.27705863196359, -123.10631803800989
"{""coordinates"": [[-123.11306872717026, 49.23934223227395], [-123.1116061180564, 49.2386511106263]], ""type"": ""LineString""}";1200;1967-01-01;blank;Steel;49.238996671450124, -123.11233742261334
"{""coordinates"": [[-123.05923200739824, 49.22941152263819], [-123.05921964568049, 49.229411439023345]], ""type"": ""LineString""}";1050;1998-01-01;blank;Steel;49.22941148083076, -123.05922582653936
"{""coordinates"": [[-123.116445255865, 49.24069339994771], [-123.11644354923587, 49.240896604187604]], ""type"": ""LineString""}";1050;1953-01-01;Coal Tar;Steel;49.24079500206766, -123.11644440255043
"{""coordinates"": [[-123.07175994460154, 49.223247261064834], [-123.07174372625585, 49.22342807602081]], ""type"": ""LineString""}";450;1970-01-01;Coal Tar;Steel;49.223337668542825, -123.0717518354287
"{""coordinates"": [[-123.11343530556711, 49.24009654686888], [-123.11345523297449, 49.240099675635506]], ""type"": ""LineString""}";1200;;blank;<blank>;49.240098111252195, -123.11344526927081
"{""coordinates"": [[-123.11348453318652, 49.240116288056505], [-123.1135006335278, 49.240127966055546]], ""type"": ""LineString""}";1200;;blank;<blank>;49.24012212705602, -123.11349258335717
"{""coordinates"": [[-123.13236874950825, 49.241796672810594], [-123.13232078909965, 49.24169418200037]], ""type"": ""LineString""}";1050;1967-01-01;blank;Steel;49.24174542740548, -123.13234476930396
"{""coordinates"": [[-123.11601108513551, 49.23729136737032], [-123.11600699028314, 49.2373026155418]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.237296991456056, -123.11600903770932
"{""coordinates"": [[-123.11600699028314, 49.2373026155418], [-123.11599670416788, 49.23730982206848]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.237306218805145, -123.1160018472255
"{""coordinates"": [[-123.11599670416788, 49.23730982206848], [-123.1159774793521, 49.23731299870217]], ""type"": ""LineString""}";1050;1953-01-01;blank;<blank>;49.23731141038533, -123.11598709175999
"{""coordinates"": [[-123.11334462918607, 49.24009438705777], [-123.11289471024442, 49.24037325735615]], ""type"": ""LineString""}";1200;;blank;<blank>;49.24023382220696, -123.11311966971523
